Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Akech Aliir,Melbourne United,17,117,18,40,0.45,3,13,0.231,15,27,0.556,0.488,6,16,0.375,10,9,19,9,5,5,3,20,45
Akoldah Gak,Cairns Taipans,21,409,52,101,0.515,1,12,0.083,51,89,0.573,0.52,28,48,0.583,40,77,117,19,4,12,22,39,133
Alex Higgins-Titsha,Cairns Taipans,18,283,39,82,0.476,7,22,0.318,32,60,0.533,0.518,26,30,0.867,29,42,71,9,4,17,16,45,111
Alex McNaught,New Zealand Breakers,6,19,1,6,0.167,0,2,0,1,4,0.25,0.167,0,0,,0,2,2,1,2,0,3,2,2
Alex Toohey,Sydney Kings,29,668,110,245,0.449,26,84,0.31,84,161,0.522,0.502,61,84,0.726,35,80,115,39,42,24,31,51,307
Alexander Starling,Adelaide 36ers,4,26,1,10,0.1,0,2,0,1,8,0.125,0.1,0,0,,5,4,9,1,1,1,1,5,2
Angus Glover,South East Melbourne Phoenix,29,638,100,228,0.439,57,152,0.375,43,76,0.566,0.564,23,35,0.657,18,62,80,71,22,9,37,38,280
Anthony Drmic,Tasmania JackJumpers,28,630,80,184,0.435,27,89,0.303,53,95,0.558,0.508,40,47,0.851,25,88,113,40,20,3,24,53,227
Archie Woodhill,Tasmania JackJumpers,4,25,4,6,0.667,1,1,1,3,5,0.6,0.75,3,4,0.75,2,1,3,0,0,0,0,7,12
Ben Ayre,South East Melbourne Phoenix,19,187,29,63,0.46,16,38,0.421,13,25,0.52,0.587,12,17,0.706,2,8,10,26,7,2,12,26,86
Ben Henshall,Perth Wildcats,28,658,94,223,0.422,43,119,0.361,51,104,0.49,0.518,42,48,0.875,24,64,88,74,27,9,44,74,273
Benjamin Griscti,Adelaide 36ers,7,23,2,7,0.286,0,2,0,2,5,0.4,0.286,0,2,0,3,2,5,1,1,3,0,5,4
Bradley Ballinger,Illawarra Hawks,1,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,1,0,0
Brody Nunn,Tasmania JackJumpers,4,13,0,4,0,0,1,0,0,3,0,0,1,2,0.5,0,0,0,2,0,0,1,2,1
Bryce Cotton,Perth Wildcats,24,823,212,465,0.456,90,211,0.427,122,254,0.48,0.553,172,199,0.864,14,62,76,111,28,9,36,30,686
Bul Kuol,Sydney Kings,24,525,49,117,0.419,32,81,0.395,17,36,0.472,0.556,10,13,0.769,14,46,60,18,10,7,11,56,140
Callum Logan Dalton,Brisbane Bullets,4,38,3,6,0.5,0,1,0,3,5,0.6,0.5,8,8,1,4,7,11,0,0,0,2,11,14
Cameron Oliver,Sydney Kings,29,618,137,290,0.472,27,91,0.297,110,199,0.553,0.519,49,59,0.831,30,174,204,47,22,23,38,57,350
Campbell Blogg,Melbourne United,8,31,5,12,0.417,5,10,0.5,0,2,0,0.625,2,2,1,3,3,6,1,0,1,1,4,17
Carlin Davison,New Zealand Breakers,10,71,8,16,0.5,3,7,0.429,5,9,0.556,0.594,1,2,0.5,3,11,14,6,6,2,4,14,20
Casey Prather,Brisbane Bullets,27,832,208,440,0.473,69,173,0.399,139,267,0.521,0.551,91,123,0.74,39,130,169,60,31,13,62,63,576
Chris Goulding,Melbourne United,25,683,146,349,0.418,93,256,0.363,53,93,0.57,0.552,75,86,0.872,6,44,50,41,10,5,32,54,460
Clint Steindl,Tasmania JackJumpers,29,467,54,146,0.37,36,96,0.375,18,50,0.36,0.493,12,16,0.75,11,45,56,27,10,3,9,41,156
Craig Sword,Tasmania JackJumpers,15,215,35,67,0.522,10,25,0.4,25,42,0.595,0.597,14,18,0.778,9,22,31,13,13,9,11,35,94
Dane Pineau,New Zealand Breakers,9,45,7,14,0.5,0,1,0,7,13,0.538,0.5,0,2,0,9,8,17,1,3,4,1,11,14
Daniel Grida,Illawarra Hawks,17,79,15,30,0.5,2,7,0.286,13,23,0.565,0.533,5,12,0.417,5,5,10,1,5,1,3,14,37
Darius Days,Illawarra Hawks,25,524,109,216,0.505,36,108,0.333,73,108,0.676,0.588,31,47,0.66,38,127,165,14,24,10,31,65,285
David Okwera,Perth Wildcats,20,170,25,58,0.431,8,24,0.333,17,34,0.5,0.5,7,8,0.875,12,27,39,9,2,6,13,20,65
Dejan Vasiljevic,Adelaide 36ers,24,786,141,371,0.38,74,203,0.365,67,168,0.399,0.48,78,90,0.867,17,83,100,48,14,1,32,52,434
Deng Adel,Brisbane Bullets,10,160,17,44,0.386,6,18,0.333,11,26,0.423,0.455,7,10,0.7,2,13,15,8,3,3,13,10,47
Derrick Walton,South East Melbourne Phoenix,15,354,67,153,0.438,23,66,0.348,44,87,0.506,0.513,20,25,0.8,3,38,41,72,18,2,27,28,177
Dillon Stith,Cairns Taipans,14,125,6,31,0.194,4,20,0.2,2,11,0.182,0.258,2,2,1,8,10,18,2,3,3,3,19,18
Dontae Russo-Nance,Perth Wildcats,9,30,4,11,0.364,2,6,0.333,2,5,0.4,0.455,1,2,0.5,2,2,4,4,1,0,4,4,11
Dylan Windler,Perth Wildcats,24,653,99,214,0.463,49,125,0.392,50,89,0.562,0.577,37,43,0.86,43,109,152,45,36,24,27,65,284
Elijah Pepper,Perth Wildcats,29,483,77,183,0.421,40,116,0.345,37,67,0.552,0.53,25,33,0.758,18,50,68,38,28,2,35,34,219
Emmett Naar,Brisbane Bullets,14,114,6,21,0.286,0,2,0,6,19,0.316,0.286,3,4,0.75,5,3,8,15,0,1,4,14,15
Fabijan Krslovic,Tasmania JackJumpers,28,448,43,130,0.331,9,43,0.209,34,87,0.391,0.365,20,27,0.741,58,73,131,36,20,8,15,54,115
Flynn Cameron,Melbourne United,29,377,58,137,0.423,31,80,0.388,27,57,0.474,0.536,26,29,0.897,17,44,61,28,9,1,19,50,173
Freddie Gillespie,New Zealand Breakers,9,170,27,40,0.675,0,0,,27,40,0.675,0.675,8,14,0.571,14,34,48,5,5,16,9,28,62
Gorjok Gak,Tasmania JackJumpers,24,258,46,82,0.561,5,9,0.556,41,73,0.562,0.591,12,27,0.444,16,46,62,6,11,5,13,47,109
Grant Anticevich,New Zealand Breakers,26,401,40,94,0.426,28,64,0.438,12,30,0.4,0.574,1,2,0.5,10,47,57,17,3,3,7,35,109
Hyrum Harris,Perth Wildcats,26,299,31,60,0.517,3,10,0.3,28,50,0.56,0.542,10,16,0.625,20,38,58,35,12,5,18,39,75
Hyunjung Lee,Illawarra Hawks,29,492,72,175,0.411,43,120,0.358,29,55,0.527,0.534,37,45,0.822,31,68,99,40,16,11,10,35,224
Ian Clark,Melbourne United,28,616,137,314,0.436,49,138,0.355,88,176,0.5,0.514,33,36,0.917,14,40,54,34,15,3,39,60,356
Ian Hummer,Tasmania JackJumpers,12,171,23,60,0.383,5,11,0.455,18,49,0.367,0.425,4,17,0.235,20,24,44,5,6,0,11,21,55
Isaac Humphries,Adelaide 36ers,28,673,151,245,0.616,0,0,,151,245,0.616,0.616,40,53,0.755,60,102,162,24,31,35,29,62,342
Isaac White,Brisbane Bullets,28,436,59,151,0.391,22,53,0.415,37,98,0.378,0.464,44,53,0.83,9,43,52,40,7,2,17,21,184
Izan Almansa,Perth Wildcats,29,499,91,178,0.511,7,21,0.333,84,157,0.535,0.531,31,58,0.534,45,80,125,22,13,10,17,50,220
Izayah Le'Afa,Sydney Kings,29,563,34,123,0.276,27,101,0.267,7,22,0.318,0.386,13,15,0.867,9,48,57,58,19,10,18,49,108
Jack White,Melbourne United,27,706,142,277,0.513,28,86,0.326,114,191,0.597,0.563,60,91,0.659,61,194,255,48,21,16,38,55,372
Jackson Makoi,Cairns Taipans,11,151,16,44,0.364,2,8,0.25,14,36,0.389,0.386,11,14,0.786,6,23,29,27,6,2,16,11,45
Jacob Rigoni,Adelaide 36ers,10,38,5,8,0.625,5,6,0.833,0,2,0,0.938,1,2,0.5,0,10,10,1,0,0,0,7,16
James Batemon III,Brisbane Bullets,16,451,90,180,0.5,43,89,0.483,47,91,0.516,0.619,25,37,0.676,6,42,48,45,15,3,35,39,248
Jarell Martin,Adelaide 36ers,20,397,56,130,0.431,20,60,0.333,36,70,0.514,0.508,30,35,0.857,13,68,81,11,13,6,18,55,162
Jarred Bairstow,Brisbane Bullets,8,54,6,10,0.6,1,1,1,5,9,0.556,0.65,5,6,0.833,6,7,13,1,2,0,3,1,18
Jason Cadee,Adelaide 36ers,29,432,35,77,0.455,19,47,0.404,16,30,0.533,0.578,22,26,0.846,10,36,46,65,15,0,21,40,111
Jason Spurgin,Sydney Kings,7,32,0,4,0,0,3,0,0,1,0,0,0,0,,3,3,6,0,0,2,3,2,0
Jaylen Adams,Sydney Kings,26,761,148,357,0.415,49,137,0.358,99,220,0.45,0.483,123,157,0.783,18,86,104,158,42,18,76,65,468
Jaylin Galloway,Sydney Kings,10,140,17,37,0.459,4,16,0.25,13,21,0.619,0.514,16,20,0.8,6,17,23,7,8,4,6,10,54
Jesse Wagstaff,Perth Wildcats,27,312,34,88,0.386,20,52,0.385,14,36,0.389,0.5,18,21,0.857,21,26,47,37,9,2,7,37,106
Joe Wieskamp,South East Melbourne Phoenix,28,640,111,245,0.453,41,123,0.333,70,122,0.574,0.537,43,67,0.642,31,107,138,17,22,22,22,54,306
Joel Foxwell,Melbourne United,8,36,2,13,0.154,1,5,0.2,1,8,0.125,0.192,4,6,0.667,0,2,2,6,2,0,5,1,9
Jonah Antonio,Cairns Taipans,26,434,34,112,0.304,29,95,0.305,5,17,0.294,0.433,10,10,1,16,46,62,21,16,6,14,29,107
Jonah Bolden,New Zealand Breakers,24,513,55,128,0.43,22,81,0.272,33,47,0.702,0.516,12,20,0.6,28,110,138,30,14,12,25,62,144
Jordan Hunter,South East Melbourne Phoenix,29,640,116,197,0.589,8,23,0.348,108,174,0.621,0.609,67,93,0.72,79,125,204,19,12,20,37,93,307
Jordon Crawford,Tasmania JackJumpers,28,787,158,384,0.411,56,172,0.326,102,212,0.481,0.484,75,90,0.833,8,45,53,123,20,3,61,49,447
Josh Adams,Brisbane Bullets,9,226,35,81,0.432,11,37,0.297,24,44,0.545,0.5,15,17,0.882,3,21,24,19,7,1,4,25,96
Josh Bannan,Brisbane Bullets,19,560,89,209,0.426,10,31,0.323,79,178,0.444,0.45,63,78,0.808,45,118,163,33,8,7,20,41,251
Josh Kunen,Brisbane Bullets,7,59,3,7,0.429,0,3,0,3,4,0.75,0.429,3,4,0.75,3,6,9,5,0,0,3,10,9
Kaia Isaac,New Zealand Breakers,8,57,8,17,0.471,5,11,0.455,3,6,0.5,0.618,0,1,0,1,3,4,6,1,0,4,5,21
Karim Lopez,New Zealand Breakers,25,572,79,173,0.457,20,65,0.308,59,108,0.546,0.514,63,85,0.741,35,83,118,30,16,23,34,68,241
Keandre Cook,Brisbane Bullets,28,870,153,365,0.419,69,199,0.347,84,166,0.506,0.514,92,102,0.902,29,82,111,80,48,11,68,74,467
Keanu Pinder,Perth Wildcats,25,574,131,264,0.496,18,59,0.305,113,205,0.551,0.53,97,136,0.713,57,100,157,31,26,17,43,70,377
Keanu Rasmussen,Adelaide 36ers,18,201,18,42,0.429,3,17,0.176,15,25,0.6,0.464,9,14,0.643,6,15,21,17,10,1,17,27,48
Keli Leaupepe,Sydney Kings,19,292,44,101,0.436,16,41,0.39,28,60,0.467,0.515,16,24,0.667,42,35,77,21,10,0,9,47,120
Kendric Davis,Adelaide 36ers,27,956,226,464,0.487,63,168,0.375,163,296,0.551,0.555,177,219,0.808,9,100,109,216,36,5,83,68,692
Kobe Mcdowell - White,Illawarra Hawks,6,13,3,6,0.5,1,4,0.25,2,2,1,0.583,0,1,0,0,0,0,1,0,0,2,1,7
