team,state,city,longitude,latitude
Adelaide 36ers,South Australia,Adelaide,138.601,-34.929
Brisbane Bullets,Queensland,Brisbane,153.025,-27.468
Cairns Taipans,Queensland,Cairns,145.778,-16.918
Illawarra Hawks,New South Wales,Wollongong,150.893,-34.428
Melbourne United,Victoria,Melbourne,144.963,-37.814
South East Melbourne Phoenix,Victoria,Melbourne,144.963,-37.814
Perth Wildcats,Western Australia,Perth,115.860,-31.952
Sydney Kings,New South Wales,Sydney,151.209,-33.869
Tasmania JackJumpers,Tasmania,Hobart,147.328,-42.882
New Zealand Breakers,New Zealand,Auckland,174.763,-36.848
